Area Type,Area Name,Period,SOC Level,Standard Occupational Classification (SOC),Occupational Title,Base Year Employment Estimate,Projected Year Employment Estimate,Numeric Change,Percentage Change,Exits,Transfers,Total Job Openings,Median Hourly Wage,Median Annual Wage,Entry Level Education,Work Experience,Job Training
Metropolitan Area,Santa Maria-Santa Barbara MSA (Santa Barbara County),2020-2030,3,43-4000,Information and Record Clerks,4970,5210,240,4.8,2510,3770,6520,0.00,0,N/A,N/A,N/A
Metropolitan Area,Santa Maria-Santa Barbara MSA (Santa Barbara County),2020-2030,4,43-4031,"Court, Municipal, and License Clerks",140,150,10,7.1,70,70,150,23.84,"49,577",High school diploma or equivalent,None,Long-term on-the-job training
Metropolitan Area,Santa Maria-Santa Barbara MSA (Santa Barbara County),2020-2030,4,43-4051,Customer Service Representatives,1680,1720,40,2.4,800,1340,2180,19.36,"40,272",High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Santa Maria-Santa Barbara MSA (Santa Barbara County),2020-2030,4,43-4061,"Eligibility Interviewers, Government Programs",330,350,20,6.1,120,170,310,30.66,"63,785",High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,Santa Maria-Santa Barbara MSA (Santa Barbara County),2020-2030,4,43-4071,File Clerks,80,70,-10,-12.5,40,50,80,18.19,"37,847",High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Santa Maria-Santa Barbara MSA (Santa Barbara County),2020-2030,4,43-4081,"Hotel, Motel, and Resort Desk Clerks",600,720,120,20.0,380,700,1200,15.38,"32,007",High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Santa Maria-Santa Barbara MSA (Santa Barbara County),2020-2030,4,43-4111,"Interviewers, Except Eligibility and Loan",320,300,-20,-6.3,180,200,360,23.78,"49,473",High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Santa Maria-Santa Barbara MSA (Santa Barbara County),2020-2030,4,43-4121,"Library Assistants, Clerical",90,90,0,0.0,80,60,140,19.53,"40,615",High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Santa Maria-Santa Barbara MSA (Santa Barbara County),2020-2030,4,43-4131,Loan Interviewers and Clerks,150,160,10,6.7,40,90,140,24.65,"51,264",High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Santa Maria-Santa Barbara MSA (Santa Barbara County),2020-2030,4,43-4151,Order Clerks,150,130,-20,-13.3,60,90,130,19.24,"40,012","Some college, no degree",None,Short-term on-the-job training
Metropolitan Area,Santa Maria-Santa Barbara MSA (Santa Barbara County),2020-2030,4,43-4161,"Human Resources Assistants, Except Payroll and Timekeeping",130,130,0,0.0,50,80,130,24.30,"50,545",Associate's degree,None,None
Metropolitan Area,Santa Maria-Santa Barbara MSA (Santa Barbara County),2020-2030,4,43-4171,Receptionists and Information Clerks,900,950,50,5.6,520,640,1210,18.07,"37,576",High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Santa Maria-Santa Barbara MSA (Santa Barbara County),2020-2030,4,43-4181,Reservation and Transportation Ticket Agents and Travel Clerks,80,100,20,25.0,40,70,130,18.79,"39,064",High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Santa Maria-Santa Barbara MSA (Santa Barbara County),2020-2030,4,43-4199,"Information and Record Clerks, All Other",280,310,30,10.7,120,200,350,23.91,"49,723",High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Santa Maria-Santa Barbara MSA (Santa Barbara County),2020-2030,3,43-5000,"Material Recording, Scheduling, Dispatching, and Distributing Workers",2390,2470,80,3.3,930,1270,2280,0.00,0,N/A,N/A,N/A
Metropolitan Area,Santa Maria-Santa Barbara MSA (Santa Barbara County),2020-2030,4,43-5021,Couriers and Messengers,90,90,0,0.0,40,50,90,18.61,"38,711",High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Santa Maria-Santa Barbara MSA (Santa Barbara County),2020-2030,4,43-5031,"Police, Fire, and Ambulance Dispatchers",110,110,0,0.0,40,60,100,39.09,"81,293",High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,Santa Maria-Santa Barbara MSA (Santa Barbara County),2020-2030,4,43-5032,"Dispatchers, Except Police, Fire, and Ambulance",200,210,10,5.0,70,110,190,23.34,"48,547",High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,Santa Maria-Santa Barbara MSA (Santa Barbara County),2020-2030,4,43-5051,Postal Service Clerks,90,90,0,0.0,40,30,70,26.15,"54,386",High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Santa Maria-Santa Barbara MSA (Santa Barbara County),2020-2030,4,43-5052,Postal Service Mail Carriers,360,380,20,5.6,130,130,280,26.24,"54,584",High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Santa Maria-Santa Barbara MSA (Santa Barbara County),2020-2030,4,43-5053,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",230,230,0,0.0,130,70,200,25.65,"53,345",High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Santa Maria-Santa Barbara MSA (Santa Barbara County),2020-2030,4,43-5061,"Production, Planning, and Expediting Clerks",460,490,30,6.5,170,310,510,29.64,"61,662",High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,Santa Maria-Santa Barbara MSA (Santa Barbara County),2020-2030,4,43-5071,"Shipping, Receiving, and Traffic Clerks",760,750,-10,-1.3,280,440,710,18.98,"39,470",High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Santa Maria-Santa Barbara MSA (Santa Barbara County),2020-2030,4,43-5111,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",50,60,10,20.0,20,30,60,18.95,"39,429",High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Santa Maria-Santa Barbara MSA (Santa Barbara County),2020-2030,3,43-6000,Secretaries and Administrative Assistants,4340,4320,-20,-0.5,2200,2420,4600,0.00,0,N/A,N/A,N/A
Metropolitan Area,Santa Maria-Santa Barbara MSA (Santa Barbara County),2020-2030,4,43-6011,Executive Secretaries and Executive Administrative Assistants,720,630,-90,-12.5,340,380,630,31.76,"66,055",High school diploma or equivalent,Less than 5 years,None
Metropolitan Area,Santa Maria-Santa Barbara MSA (Santa Barbara County),2020-2030,4,43-6012,Legal Secretaries,110,70,-40,-36.4,50,50,60,20.15,"41,906",High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,Santa Maria-Santa Barbara MSA (Santa Barbara County),2020-2030,4,43-6013,Medical Secretaries,1250,1410,160,12.8,680,750,1590,19.14,"39,814",High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,Santa Maria-Santa Barbara MSA (Santa Barbara County),2020-2030,4,43-6014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",2260,2210,-50,-2.2,1140,1250,2340,23.49,"48,870",High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Santa Maria-Santa Barbara MSA (Santa Barbara County),2020-2030,3,43-9000,Other Office and Administrative Support Workers,4500,4520,20,0.4,2330,2750,5100,0.00,0,N/A,N/A,N/A
Metropolitan Area,Santa Maria-Santa Barbara MSA (Santa Barbara County),2020-2030,4,43-9021,Data Entry Keyers,150,130,-20,-13.3,60,90,130,17.67,"36,764",High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Santa Maria-Santa Barbara MSA (Santa Barbara County),2020-2030,4,43-9022,Word Processors and Typists,60,40,-20,-33.3,30,30,40,24.36,"50,660",High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Santa Maria-Santa Barbara MSA (Santa Barbara County),2020-2030,4,43-9041,Insurance Claims and Policy Processing Clerks,110,110,0,0.0,40,70,110,23.85,"49,588",High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,Santa Maria-Santa Barbara MSA (Santa Barbara County),2020-2030,4,43-9051,"Mail Clerks and Mail Machine Operators, Except Postal Service",60,50,-10,-16.7,30,30,50,15.35,"31,924",High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Santa Maria-Santa Barbara MSA (Santa Barbara County),2020-2030,4,43-9061,"Office Clerks, General",3420,3450,30,0.9,1880,2040,3950,19.87,"41,323",High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Santa Maria-Santa Barbara MSA (Santa Barbara County),2020-2030,4,43-9199,"Office and Administrative Support Workers, All Other",640,700,60,9.4,280,460,800,24.13,"50,171",High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Santa Maria-Santa Barbara MSA (Santa Barbara County),2020-2030,2,45-0000,"Farming, Fishing, and Forestry Occupations",20780,22700,1920,9.2,9140,24720,35780,15.32,"31,873",N/A,N/A,N/A
Metropolitan Area,Santa Maria-Santa Barbara MSA (Santa Barbara County),2020-2030,3,45-1000,"Supervisors of Farming, Fishing, and Forestry Workers",1000,1120,120,12.0,390,1100,1610,0.00,0,N/A,N/A,N/A
Metropolitan Area,Santa Maria-Santa Barbara MSA (Santa Barbara County),2020-2030,4,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",1000,1120,120,12.0,390,1100,1610,21.70,"45,132",High school diploma or equivalent,Less than 5 years,None
Metropolitan Area,Santa Maria-Santa Barbara MSA (Santa Barbara County),2020-2030,3,45-2000,Agricultural Workers,19760,21560,1800,9.1,8740,23590,34130,0.00,0,N/A,N/A,N/A
Metropolitan Area,Santa Maria-Santa Barbara MSA (Santa Barbara County),2020-2030,4,45-2091,Agricultural Equipment Operators,1030,1200,170,16.5,470,1270,1910,18.33,"38,116",No formal educational credential,None,Moderate-term on-the-job training
Metropolitan Area,Santa Maria-Santa Barbara MSA (Santa Barbara County),2020-2030,4,45-2092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",17990,19590,1600,8.9,7960,21470,31030,15.28,"31,791",No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Santa Maria-Santa Barbara MSA (Santa Barbara County),2020-2030,4,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",290,300,10,3.4,120,340,470,15.00,"31,200",No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Santa Maria-Santa Barbara MSA (Santa Barbara County),2020-2030,2,47-0000,Construction and Extraction Occupations,9250,10290,1040,11.2,2840,6470,10350,28.88,"60,063",N/A,N/A,N/A
Metropolitan Area,Santa Maria-Santa Barbara MSA (Santa Barbara County),2020-2030,3,47-1000,Supervisors of Construction and Extraction Workers,730,790,60,8.2,210,490,760,0.00,0,N/A,N/A,N/A
Metropolitan Area,Santa Maria-Santa Barbara MSA (Santa Barbara County),2020-2030,4,47-1011,First-Line Supervisors of Construction Trades and Extraction Workers,730,790,60,8.2,210,490,760,38.52,"80,112",High school diploma or equivalent,5 years or more,None
Metropolitan Area,Santa Maria-Santa Barbara MSA (Santa Barbara County),2020-2030,3,47-2000,Construction Trades Workers,7600,8610,1010,13.3,2330,5230,8570,0.00,0,N/A,N/A,N/A
Metropolitan Area,Santa Maria-Santa Barbara MSA (Santa Barbara County),2020-2030,4,47-2031,Carpenters,1470,1620,150,10.2,450,960,1560,30.08,"62,560",High school diploma or equivalent,None,Apprenticeship
Metropolitan Area,Santa Maria-Santa Barbara MSA (Santa Barbara County),2020-2030,4,47-2041,Carpet Installers,70,70,0,0.0,20,40,60,23.42,"48,713",No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Santa Maria-Santa Barbara MSA (Santa Barbara County),2020-2030,4,47-2042,"Floor Layers, Except Carpet, Wood, and Hard Tiles",60,80,20,33.3,20,40,80,25.72,"53,501",No formal educational credential,None,Moderate-term on-the-job training
Metropolitan Area,Santa Maria-Santa Barbara MSA (Santa Barbara County),2020-2030,4,47-2044,Tile and Marble Setters,190,240,50,26.3,60,130,240,29.19,"60,713",No formal educational credential,None,Long-term on-the-job training
Metropolitan Area,Santa Maria-Santa Barbara MSA (Santa Barbara County),2020-2030,4,47-2051,Cement Masons and Concrete Finishers,260,270,10,3.8,60,170,240,24.16,"50,230",No formal educational credential,None,Moderate-term on-the-job training
Metropolitan Area,Santa Maria-Santa Barbara MSA (Santa Barbara County),2020-2030,4,47-2061,Construction Laborers,1490,1720,230,15.4,480,1080,1790,23.30,"48,455",No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Santa Maria-Santa Barbara MSA (Santa Barbara County),2020-2030,4,47-2073,Operating Engineers and Other Construction Equipment Operators,370,390,20,5.4,120,270,410,32.48,"67,564",High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,Santa Maria-Santa Barbara MSA (Santa Barbara County),2020-2030,4,47-2081,Drywall and Ceiling Tile Installers,500,580,80,16.0,130,310,520,29.65,"61,673",No formal educational credential,None,Moderate-term on-the-job training
Metropolitan Area,Santa Maria-Santa Barbara MSA (Santa Barbara County),2020-2030,4,47-2111,Electricians,510,560,50,9.8,160,400,610,30.62,"63,705",High school diploma or equivalent,None,Apprenticeship
Metropolitan Area,Santa Maria-Santa Barbara MSA (Santa Barbara County),2020-2030,4,47-2141,"Painters, Construction and Maintenance",1050,1230,180,17.1,350,630,1160,23.69,"49,270",No formal educational credential,None,Moderate-term on-the-job training
Metropolitan Area,Santa Maria-Santa Barbara MSA (Santa Barbara County),2020-2030,4,47-2152,"Plumbers, Pipefitters, and Steamfitters",450,480,30,6.7,130,330,490,30.53,"63,509",High school diploma or equivalent,None,Apprenticeship
Metropolitan Area,Santa Maria-Santa Barbara MSA (Santa Barbara County),2020-2030,4,47-2161,Plasterers and Stucco Masons,160,190,30,18.8,50,90,170,29.82,"62,024",No formal educational credential,None,Long-term on-the-job training
Metropolitan Area,Santa Maria-Santa Barbara MSA (Santa Barbara County),2020-2030,4,47-2181,Roofers,390,440,50,12.8,100,290,440,25.10,"52,211",No formal educational credential,None,Moderate-term on-the-job training
Metropolitan Area,Santa Maria-Santa Barbara MSA (Santa Barbara County),2020-2030,4,47-2211,Sheet Metal Workers,90,100,10,11.1,30,60,100,31.34,"65,171",High school diploma or equivalent,None,Apprenticeship
Metropolitan Area,Santa Maria-Santa Barbara MSA (Santa Barbara County),2020-2030,3,47-3000,"Helpers, Construction Trades",280,310,30,10.7,90,260,380,0.00,0,N/A,N/A,N/A
Metropolitan Area,Santa Maria-Santa Barbara MSA (Santa Barbara County),2020-2030,4,47-3011,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",70,80,10,14.3,20,60,90,19.08,"39,684",No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Santa Maria-Santa Barbara MSA (Santa Barbara County),2020-2030,4,47-3019,"Helpers, Construction Trades, All Other",50,60,10,20.0,20,50,80,18.81,"39,117",No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Santa Maria-Santa Barbara MSA (Santa Barbara County),2020-2030,3,47-4000,Other Construction and Related Workers,340,350,10,2.9,140,230,380,0.00,0,N/A,N/A,N/A
Metropolitan Area,Santa Maria-Santa Barbara MSA (Santa Barbara County),2020-2030,4,47-4011,Construction and Building Inspectors,120,130,10,8.3,70,80,160,39.39,"81,917",High school diploma or equivalent,5 years or more,Moderate-term on-the-job training
Metropolitan Area,Santa Maria-Santa Barbara MSA (Santa Barbara County),2020-2030,4,47-4051,Highway Maintenance Workers,90,90,0,0.0,40,60,100,29.92,"62,240",High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,Santa Maria-Santa Barbara MSA (Santa Barbara County),2020-2030,3,47-5000,Extraction Workers,310,230,-80,-25.8,70,250,240,0.00,0,N/A,N/A,N/A
Metropolitan Area,Santa Maria-Santa Barbara MSA (Santa Barbara County),2020-2030,4,47-5013,"Service Unit Operators, Oil, Gas, and Mining",110,70,-40,-36.4,20,90,70,30.75,"63,953",No formal educational credential,None,Moderate-term on-the-job training
Metropolitan Area,Santa Maria-Santa Barbara MSA (Santa Barbara County),2020-2030,2,49-0000,"Installation, Maintenance, and Repair Occupations",5980,6600,620,10.4,2030,3980,6630,24.63,"51,229",N/A,N/A,N/A
Metropolitan Area,Santa Maria-Santa Barbara MSA (Santa Barbara County),2020-2030,3,49-1000,"Supervisors of Installation, Maintenance, and Repair Workers",520,580,60,11.5,160,330,550,0.00,0,N/A,N/A,N/A
Metropolitan Area,Santa Maria-Santa Barbara MSA (Santa Barbara County),2020-2030,4,49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers",520,580,60,11.5,160,330,550,38.00,"79,034",High school diploma or equivalent,Less than 5 years,None
Metropolitan Area,Santa Maria-Santa Barbara MSA (Santa Barbara County),2020-2030,3,49-2000,"Electrical and Electronic Equipment Mechanics, Installers, and Repairers",420,410,-10,-2.4,130,280,400,0.00,0,N/A,N/A,N/A
Metropolitan Area,Santa Maria-Santa Barbara MSA (Santa Barbara County),2020-2030,4,49-2011,"Computer, Automated Teller, and Office Machine Repairers",60,80,20,33.3,20,50,90,23.12,"48,088","Some college, no degree",None,Short-term on-the-job training
Metropolitan Area,Santa Maria-Santa Barbara MSA (Santa Barbara County),2020-2030,4,49-2022,"Telecommunications Equipment Installers and Repairers, Except Line Installers",160,130,-30,-18.8,50,110,130,30.44,"63,308",Postsecondary non-degree award,None,Moderate-term on-the-job training
Metropolitan Area,Santa Maria-Santa Barbara MSA (Santa Barbara County),2020-2030,4,49-2094,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",50,50,0,0.0,20,30,50,32.52,"67,637",Postsecondary non-degree award,None,Long-term on-the-job training
Metropolitan Area,Santa Maria-Santa Barbara MSA (Santa Barbara County),2020-2030,3,49-3000,"Vehicle and Mobile Equipment Mechanics, Installers, and Repairers",1740,1890,150,8.6,550,1220,1920,0.00,0,N/A,N/A,N/A
Metropolitan Area,Santa Maria-Santa Barbara MSA (Santa Barbara County),2020-2030,4,49-3011,Aircraft Mechanics and Service Technicians,90,100,10,11.1,30,50,90,39.13,"81,390",Postsecondary non-degree award,None,None
Metropolitan Area,Santa Maria-Santa Barbara MSA (Santa Barbara County),2020-2030,4,49-3021,Automotive Body and Related Repairers,110,120,10,9.1,40,70,120,29.52,"61,407",High school diploma or equivalent,None,Long-term on-the-job training
Metropolitan Area,Santa Maria-Santa Barbara MSA (Santa Barbara County),2020-2030,4,49-3023,Automotive Service Technicians and Mechanics,620,630,10,1.6,190,420,620,30.23,"62,884",Postsecondary non-degree award,None,Short-term on-the-job training
Metropolitan Area,Santa Maria-Santa Barbara MSA (Santa Barbara County),2020-2030,4,49-3031,Bus and Truck Mechanics and Diesel Engine Specialists,210,220,10,4.8,60,130,200,29.50,"61,355",High school diploma or equivalent,None,Long-term on-the-job training
Metropolitan Area,Santa Maria-Santa Barbara MSA (Santa Barbara County),2020-2030,4,49-3041,Farm Equipment Mechanics and Service Technicians,310,360,50,16.1,100,230,380,23.89,"49,679",High school diploma or equivalent,None,Long-term on-the-job training
Metropolitan Area,Santa Maria-Santa Barbara MSA (Santa Barbara County),2020-2030,4,49-3042,"Mobile Heavy Equipment Mechanics, Except Engines",140,150,10,7.1,40,100,150,31.24,"64,972",High school diploma or equivalent,None,Long-term on-the-job training
Metropolitan Area,Santa Maria-Santa Barbara MSA (Santa Barbara County),2020-2030,4,49-3093,Tire Repairers and Changers,120,120,0,0.0,40,100,140,18.21,"37,859",High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Santa Maria-Santa Barbara MSA (Santa Barbara County),2020-2030,3,49-9000,"Other Installation, Maintenance, and Repair Occupations",3300,3720,420,12.7,1190,2150,3760,0.00,0,N/A,N/A,N/A
Metropolitan Area,Santa Maria-Santa Barbara MSA (Santa Barbara County),2020-2030,4,49-9021,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",380,400,20,5.3,100,270,390,25.08,"52,159",Postsecondary non-degree award,None,Long-term on-the-job training
Metropolitan Area,Santa Maria-Santa Barbara MSA (Santa Barbara County),2020-2030,4,49-9041,Industrial Machinery Mechanics,260,300,40,15.4,90,150,280,30.45,"63,339",High school diploma or equivalent,None,Long-term on-the-job training
Metropolitan Area,Santa Maria-Santa Barbara MSA (Santa Barbara County),2020-2030,4,49-9043,"Maintenance Workers, Machinery",60,70,10,16.7,20,30,60,22.49,"46,786",High school diploma or equivalent,None,Long-term on-the-job training
Metropolitan Area,Santa Maria-Santa Barbara MSA (Santa Barbara County),2020-2030,4,49-9062,Medical Equipment Repairers,60,60,0,0.0,30,30,60,38.15,"79,344",Associate's degree,None,Moderate-term on-the-job training
Metropolitan Area,Santa Maria-Santa Barbara MSA (Santa Barbara County),2020-2030,4,49-9071,"Maintenance and Repair Workers, General",1850,2140,290,15.7,700,1160,2150,23.31,"48,481",High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,Santa Maria-Santa Barbara MSA (Santa Barbara County),2020-2030,4,49-9098,"Helpers--Installation, Maintenance, and Repair Workers",110,120,10,9.1,50,100,160,15.19,"31,597",High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Santa Maria-Santa Barbara MSA (Santa Barbara County),2020-2030,4,49-9099,"Installation, Maintenance, and Repair Workers, All Other",330,370,40,12.1,120,230,390,19.53,"40,618",High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,Santa Maria-Santa Barbara MSA (Santa Barbara County),2020-2030,2,51-0000,Production Occupations,9110,9550,440,4.8,3580,6680,10700,18.83,"39,169",N/A,N/A,N/A
Metropolitan Area,Santa Maria-Santa Barbara MSA (Santa Barbara County),2020-2030,3,51-1000,Supervisors of Production Workers,460,510,50,10.9,150,330,530,0.00,0,N/A,N/A,N/A
Metropolitan Area,Santa Maria-Santa Barbara MSA (Santa Barbara County),2020-2030,4,51-1011,First-Line Supervisors of Production and Operating Workers,460,510,50,10.9,150,330,530,31.29,"65,085",High school diploma or equivalent,Less than 5 years,None
Metropolitan Area,Santa Maria-Santa Barbara MSA (Santa Barbara County),2020-2030,3,51-2000,Assemblers and Fabricators,2600,2590,-10,-0.4,1000,1820,2810,0.00,0,N/A,N/A,N/A
Metropolitan Area,Santa Maria-Santa Barbara MSA (Santa Barbara County),2020-2030,4,51-2028,"Electrical, Electronic, and Electromechanical Assemblers, Except Coil Winders, Tapers, and Finishers",470,450,-20,-4.3,180,290,450,19.01,"39,523",High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,Santa Maria-Santa Barbara MSA (Santa Barbara County),2020-2030,4,51-2090,Miscellaneous Assemblers and Fabricators,2050,2080,30,1.5,790,1470,2290,15.49,"32,220",High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,Santa Maria-Santa Barbara MSA (Santa Barbara County),2020-2030,3,51-3000,Food Processing Workers,870,1020,150,17.2,450,720,1320,0.00,0,N/A,N/A,N/A
Metropolitan Area,Santa Maria-Santa Barbara MSA (Santa Barbara County),2020-2030,4,51-3011,Bakers,270,330,60,22.2,170,220,450,15.89,"33,052",No formal educational credential,None,Long-term on-the-job training
Metropolitan Area,Santa Maria-Santa Barbara MSA (Santa Barbara County),2020-2030,4,51-3021,Butchers and Meat Cutters,340,390,50,14.7,150,270,470,18.54,"38,556",No formal educational credential,None,Long-term on-the-job training
Metropolitan Area,Santa Maria-Santa Barbara MSA (Santa Barbara County),2020-2030,4,51-3092,Food Batchmakers,120,130,10,8.3,60,90,160,15.23,"31,679",High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,Santa Maria-Santa Barbara MSA (Santa Barbara County),2020-2030,3,51-4000,Metal Workers and Plastic Workers,1120,1160,40,3.6,360,810,1210,0.00,0,N/A,N/A,N/A
Metropolitan Area,Santa Maria-Santa Barbara MSA (Santa Barbara County),2020-2030,4,51-4031,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",90,90,0,0.0,30,60,90,18.96,"39,429",High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,Santa Maria-Santa Barbara MSA (Santa Barbara County),2020-2030,4,51-4041,Machinists,310,330,20,6.5,110,220,350,24.23,"50,384",High school diploma or equivalent,None,Long-term on-the-job training
Metropolitan Area,Santa Maria-Santa Barbara MSA (Santa Barbara County),2020-2030,4,51-4121,"Welders, Cutters, Solderers, and Brazers",350,390,40,11.4,100,290,430,24.28,"50,509",High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,Santa Maria-Santa Barbara MSA (Santa Barbara County),2020-2030,3,51-5100,Printing Workers,140,140,0,0.0,50,100,150,0.00,0,N/A,N/A,N/A
Metropolitan Area,Santa Maria-Santa Barbara MSA (Santa Barbara County),2020-2030,4,51-5112,Printing Press Operators,110,110,0,0.0,40,80,120,18.50,"38,472",High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,Santa Maria-Santa Barbara MSA (Santa Barbara County),2020-2030,3,51-6000,"Textile, Apparel, and Furnishings Workers",540,580,40,7.4,340,350,730,0.00,0,N/A,N/A,N/A
Metropolitan Area,Santa Maria-Santa Barbara MSA (Santa Barbara County),2020-2030,4,51-6011,Laundry and Dry-Cleaning Workers,240,280,40,16.7,170,170,380,15.00,"31,200",No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Santa Maria-Santa Barbara MSA (Santa Barbara County),2020-2030,4,51-6021,"Pressers, Textile, Garment, and Related Materials",80,80,0,0.0,40,50,90,15.00,"31,200",No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Santa Maria-Santa Barbara MSA (Santa Barbara County),2020-2030,4,51-6031,Sewing Machine Operators,80,80,0,0.0,50,40,90,15.20,"31,606",No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Santa Maria-Santa Barbara MSA (Santa Barbara County),2020-2030,3,51-7000,Woodworkers,160,160,0,0.0,60,90,150,0.00,0,N/A,N/A,N/A
Metropolitan Area,Santa Maria-Santa Barbara MSA (Santa Barbara County),2020-2030,4,51-7011,Cabinetmakers and Bench Carpenters,110,120,10,9.1,40,60,110,22.06,"45,869",High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,Santa Maria-Santa Barbara MSA (Santa Barbara County),2020-2030,3,51-8000,Plant and System Operators,400,370,-30,-7.5,110,260,340,0.00,0,N/A,N/A,N/A
Metropolitan Area,Santa Maria-Santa Barbara MSA (Santa Barbara County),2020-2030,4,51-8021,Stationary Engineers and Boiler Operators,50,60,10,20.0,30,40,80,38.72,"80,534",High school diploma or equivalent,None,Long-term on-the-job training
Metropolitan Area,Santa Maria-Santa Barbara MSA (Santa Barbara County),2020-2030,4,51-8031,Water and Wastewater Treatment Plant and System Operators,240,240,0,0.0,70,150,220,31.28,"65,074",High school diploma or equivalent,None,Long-term on-the-job training
Metropolitan Area,Santa Maria-Santa Barbara MSA (Santa Barbara County),2020-2030,4,51-8093,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",80,50,-30,-37.5,20,50,40,24.38,"50,707",High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,Santa Maria-Santa Barbara MSA (Santa Barbara County),2020-2030,3,51-9000,Other Production Occupations,2820,3020,200,7.1,1060,2210,3470,0.00,0,N/A,N/A,N/A
Metropolitan Area,Santa Maria-Santa Barbara MSA (Santa Barbara County),2020-2030,4,51-9011,Chemical Equipment Operators and Tenders,70,70,0,0.0,20,60,80,23.76,"49,427",High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,Santa Maria-Santa Barbara MSA (Santa Barbara County),2020-2030,4,51-9012,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",210,280,70,33.3,50,190,310,22.62,"47,045",High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,Santa Maria-Santa Barbara MSA (Santa Barbara County),2020-2030,4,51-9023,"Mixing and Blending Machine Setters, Operators, and Tenders",150,180,30,20.0,60,120,210,18.64,"38,774",High school diploma or equivalent,None,Moderate-term on-the-job training
